anime_id,title,type,score,members,favorites,genres,themes,demographics,studios
505,Fushigiboshi no☆Futagohime,tv,7.39,11830,105,"['Comedy', 'Fantasy']",['Mahou Shoujo'],[],['Hal Film Maker']
28157,Sei Brunehilde Gakuen Shoujo Kishidan to Junpaku no Panty The Animation,ova,7.22,15218,94,['Hentai'],[],[],['Peak Hunt']
11793,"Tamayura: Hitotose - Attakai Kaze no Omoide, nanode",special,7.41,9052,3,"['Comedy', 'Drama', 'Slice of Life']","['CGDCT', 'Iyashikei']",[],['TYO Animations']
514,Cossette no Shouzou,ova,6.79,70270,396,"['Drama', 'Horror', 'Romance', 'Supernatural']","['Gore', 'Psychological', 'Visual Arts']",[],['Daume']
291,D.C.S.S: Da Capo Second Season,tv,6.95,33331,35,"['Comedy', 'Drama', 'Romance', 'Supernatural']",['Harem'],[],['feel.']
1205,Aru Tabibito no Nikki,ona,7.05,25790,114,"['Adventure', 'Fantasy']",[],[],[]
1932,Yes! Precure 5,tv,7.21,16757,100,"['Action', 'Fantasy']","['Mahou Shoujo', 'School']",[],['Toei Animation']
1069,Chou Denji Machine Voltes V,tv,7.46,7812,76,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],[],"['Sunrise', 'Toei Animation']"
40337,Aibeya The Animation,ova,7.25,12524,74,['Hentai'],[],[],['Seven']
9488,Cencoroll Connect,movie,7.2,38819,77,"['Action', 'Sci-Fi']",[],[],['Think Corporation']
507,Gravitation: Lyrics of Love,ova,6.9,32383,77,"['Boys Love', 'Comedy']",[],['Shoujo'],['Plum']
38397,Nande Koko ni Sensei ga!?,tv,6.51,336635,984,"['Comedy', 'Ecchi']",['School'],['Seinen'],['Tear Studio']
424,Dirty Pair,tv,7.22,30702,204,"['Adventure', 'Comedy', 'Sci-Fi']",['Detective'],[],['Sunrise']
44524,Isekai Meikyuu de Harem wo,tv,6.5600000000000005,239410,1872,"['Action', 'Adventure', 'Erotica', 'Fantasy', 'Romance']","['Harem', 'Isekai']",[],['Passione']
6166,Asobi ni Iku yo!,tv,6.58,197429,509,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",['Harem'],[],['AIC PLUS+']
39531,Kuutei Dragons,tv,6.96,44198,101,"['Adventure', 'Fantasy']",[],['Seinen'],['Polygon Pictures']
28211,Harmony,movie,6.89,58909,258,['Sci-Fi'],"['Adult Cast', 'Psychological']",[],['Studio 4°C']
2355,Devilman: Yochou Sirene-hen,ova,7.03,22080,116,"['Horror', 'Sci-Fi', 'Supernatural']","['Gore', 'Mythology']",['Shounen'],['Oh! Production']
39487,Lupin the IIIrd: Mine Fujiko no Uso,movie,7.3,13219,10,"['Action', 'Adventure', 'Drama']",['Adult Cast'],['Seinen'],['Telecom Animation Film']
30355,Wakaba*Girl,tv,6.89,42943,65,"['Comedy', 'Slice of Life']","['CGDCT', 'School']",[],['Nexus']
2043,Cat's Eye,tv,7.2,20893,89,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Romance']",[],['Shounen'],['Tokyo Movie Shinsha']
36494,Mekakucity Records,music,7.54,8305,29,['Sci-Fi'],"['Music', 'Psychological']",[],[]
7768,Tantei Opera Milky Holmes,tv,6.92,44252,220,"['Comedy', 'Mystery']",['Super Power'],[],['J.C.Staff']
49345,"Goodbye, Don Glees!",movie,7.41,18888,87,"['Adventure', 'Drama']",[],[],['Madhouse']
36256,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,ova,7.24,14132,105,['Hentai'],[],[],['Collaboration Works']
5504,Shinkyoku Soukai Polyphonica Crimson S,tv,7.13,24176,41,"['Drama', 'Fantasy', 'Romance']","['Music', 'School']",[],['Diomedéa']
54846,Aishang Ta de Liyou,ona,7.5,13148,143,"['Drama', 'Romance']",['School'],[],['Red Dog Culture House']
47402,Heikousen,music,7.72,4868,45,['Romance'],['Music'],[],"['10Gauge', 'Studio DURIAN']"
28683,One Piece: Episode of Alabasta - Prologue,special,7.2,15974,3,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Toei Animation']
35759,Sidonia no Kishi: Ai Tsumugu Hoshi,movie,7.46,25284,74,"['Action', 'Sci-Fi']","['Mecha', 'Space']",['Seinen'],['Polygon Pictures']
32829,Nobunaga no Shinobi,tv,7.1,25784,33,['Comedy'],['Historical'],[],['TMS Entertainment']
1079,Armitage III,ova,6.99,33893,131,"['Action', 'Adventure', 'Romance', 'Sci-Fi']","['Detective', 'Mecha']",[],['AIC']
40489,Sword Art Online: Alicization - War of Underworld Reflection,special,6.85,50176,90,"['Action', 'Adventure', 'Fantasy']",['Video Game'],[],['A-1 Pictures']
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,tv,7.1,37275,125,"['Fantasy', 'Horror', 'Mystery', 'Supernatural']","['Historical', 'Psychological']",[],['TMS Entertainment']
34607,Lostorage Conflated WIXOSS,tv,7.08,30900,77,[],"['High Stakes Game', 'Psychological', 'Strategy Game']",[],['J.C.Staff']
32603,Okusama ga Seitokaichou!+!,tv,6.58,165522,122,"['Comedy', 'Ecchi', 'Romance']",['School'],['Shounen'],['Seven']
32313,Concrete Revolutio: Choujin Gensou - The Last Song,tv,6.99,35383,83,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Mythology', 'Super Power']",[],['Bones']
14991,Harem Time The Animation,ova,7.12,22096,101,['Hentai'],['Harem'],[],['Office Takeout']
53438,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,tv,7.25,46791,182,"['Fantasy', 'Romance']","['Isekai', 'Reincarnation']",['Josei'],['OLM Team Yoshioka']
566,Tetsuwan Birdy,ova,7.08,30643,76,"['Action', 'Comedy', 'Sci-Fi']",[],['Shounen'],['Madhouse']
976,Yokohama Kaidashi Kikou: Quiet Country Cafe,ova,7.13,19611,53,"['Sci-Fi', 'Slice of Life']",['Iyashikei'],['Seinen'],['Ajia-do']
20035,Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,special,7.07,24749,17,"['Action', 'Sci-Fi']",['Super Power'],[],['J.C.Staff']
798,Yomigaeru Sora: Rescue Wings,tv,7.37,14291,47,['Drama'],"['Adult Cast', 'Military', 'Workplace']",[],['J.C.Staff']
8023,Toaru Kagaku no Railgun: Motto Marutto Railgun,special,6.85,46737,31,['Comedy'],[],[],['J.C.Staff']
38431,Persona 5 the Animation TV Specials,special,6.9,33715,38,"['Action', 'Fantasy', 'Supernatural']",['School'],[],['CloverWorks']
37175,Mi Yu Xingzhe,ona,7.26,19601,75,"['Mystery', 'Suspense']",['Psychological'],[],['Thundray']
50923,Mushikaburi-hime,tv,6.85,64737,427,"['Drama', 'Fantasy', 'Romance']",[],['Josei'],['Madhouse']
37405,Dokidoki Little Ooyasan,ova,7.14,18453,124,['Hentai'],[],[],['Collaboration Works']
39380,"Wei, Kanjian Erduo La! 2",ona,7.3,9782,33,"['Boys Love', 'Comedy', 'Slice of Life']",[],[],['monofilmo']
7148,Ladies versus Butlers!,tv,6.55,214696,278,"['Comedy', 'Ecchi', 'Romance']","['Harem', 'School']",[],['Xebec']
383,Galaxy Angel,tv,7.04,28401,188,"['Comedy', 'Sci-Fi']",[],[],['Madhouse']
38292,Mutafukaz,movie,7.09,21218,97,"['Action', 'Sci-Fi']","['Psychological', 'Super Power']",[],"['Studio 4°C', 'Ankama Animations']"
44218,Tunshi Xingkong,ona,7.83,6374,94,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Martial Arts'],[],['Sparkly Key Animation Studio']
3369,Shoubushi Densetsu Tetsuya,tv,7.53,9753,60,[],"['Historical', 'Strategy Game']",['Shounen'],['Toei Animation']
2108,Rockman.EXE Axess,tv,7.14,17134,44,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Mecha', 'Strategy Game']",[],['Xebec']
1911,Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,movie,7.42,13278,34,"['Action', 'Comedy']",['Mecha'],[],['Gainax']
39456,Sounan desu ka?,tv,6.6,153706,239,"['Adventure', 'Comedy']","['CGDCT', 'Survival']",['Seinen'],['Ezόla']
34934,Koi to Uso,tv,6.49,404380,1250,"['Drama', 'Romance']","['Love Polygon', 'School']",[],['LIDENFILMS']
8369,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,movie,7.43,6287,16,"['Adventure', 'Comedy', 'Sci-Fi']",[],['Seinen'],['Shin-Ei Animation']
2014,Taiho Shichau zo: Second Season,tv,7.39,10702,12,"['Action', 'Comedy']","['Adult Cast', 'Detective', 'Workplace']",['Seinen'],['Studio Deen']
35868,Grisaia: Phantom Trigger The Animation,movie,6.91,75035,119,['Action'],['School'],[],['Bibury Animation Studios']
891,Dragon Ball Movie 2: Majinjou no Nemurihime,movie,6.74,62660,38,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Super Power'],['Shounen'],['Toei Animation']
48411,Aria the Benedizione,movie,7.97,6754,26,"['Fantasy', 'Sci-Fi', 'Slice of Life']",['Iyashikei'],['Shounen'],['J.C.Staff']
34055,Berserk 2nd Season,tv,6.5600000000000005,176786,458,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military']",['Seinen'],"['Millepensee', 'GEMBA']"
41132,Tokyo Autumn Session,music,7.52,7300,15,[],['Music'],[],['CloverWorks']
50488,Garden: Takamine-ke no Nirinka - The Animation,ova,7.76,7166,101,['Hentai'],[],[],['Seven']
1432,Lupin III: Fuuma Ichizoku no Inbou,movie,7.28,11022,9,"['Action', 'Adventure', 'Comedy', 'Mystery']",['Adult Cast'],['Seinen'],['Tokyo Movie Shinsha']
16355,Dansai Bunri no Crime Edge,tv,6.67,110074,158,"['Action', 'Fantasy', 'Romance']",['Survival'],['Seinen'],['Studio Gokumi']
34497,Death March kara Hajimaru Isekai Kyousoukyoku,tv,6.46,486040,1763,"['Adventure', 'Fantasy']","['Harem', 'Isekai']",[],"['SILVER LINK.', 'Connect']"
2589,Black Cat (TV): Toozakaru Neko,special,7.09,21616,24,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Super Power'],['Shounen'],['Gonzo']
33743,Fuuka,tv,6.51,290811,878,"['Drama', 'Ecchi', 'Romance']","['Music', 'School']",['Shounen'],['Diomedéa']
32038,Show By Rock!! #,tv,7.05,30536,74,['Comedy'],"['Isekai', 'Music']",[],['Bones']
10578,C³,tv,6.58,174218,262,"['Action', 'Comedy', 'Ecchi', 'Supernatural']",['School'],[],['SILVER LINK.']
